feature,score
放款前浏览行为数据mean,2067
放款前浏览行为数据var,2037
放款前信用卡额度max与放款前本期账单余额max差值,1760
放款前上期还款金额max与放款前上期账单金额max差值,1543
放款前信用卡额度median与放款前本期账单余额median差值,1274
去重后放款前上期还款金额median与放款前上期账单金额median差值,1268
放款前浏览子行为编号_10,1212
放款前浏览行为数据std,1148
放款前账单汇总还款差额(去重),1147
放款前本期账单最低还款额max,1143
放款前信用卡额度min与放款前本期账单余额min差值,1138
放款前上期还款金额mean与放款前上期账单金额mean差值,1117
去重后放款前信用卡额度median与放款前本期账单余额median差值,1108
放款前账单还款差额,1067
放款前上期还款金额median与放款前上期账单金额median差值,1054
放款前浏览子行为编号_6,1036
放款前上期还款金额var与放款前上期账单金额var差值,1031
去重后放款前上期还款金额var与放款前上期账单金额var差值,1003
放款后浏览行为数据std,996
放款前浏览子行为编号_7,987
去重后放款前上期还款金额mean与放款前上期账单金额mean差值,984
放款前信用卡额度sum与放款前本期账单余额sum差值,983
放款前上期还款金额var,981
放款前浏览行为数据min,957
去重后放款前信用卡额度min与放款前本期账单余额min差值,956
放款前账单最大值还款差额(去重),955
放款前本期账单余额min,955
放款前浏览子行为编号_5,915
放款前浏览子行为编号_8,910
放款前浏览行为数据sum,908
去重后放款前上期还款金额sum与放款前上期账单金额sum差值,894
放款前本期账单金额var,870
放款前本期账单最低还款额mean,869
去重后放款前信用卡额度sum与放款前本期账单余额sum差值,866
放款前本期账单最低还款额max与放款前循环利息max之和,864
放款前信用卡额度var与放款前本期账单余额var差值,853
放款前本期账单最低还款额median,845
去重后放款前信用卡额度max与放款前本期账单余额max差值,836
放款前本期账单余额max,828
放款前信用卡额度mean与放款前本期账单余额mean差值,823
放款前本期账单余额median,812
放款前本期账单余额mean,812
放款前本期账单最低还款额var,809
去重后放款前信用卡额度mean与放款前本期账单余额mean差值,809
放款后浏览行为数据sum,790
放款前本期账单金额max,783
放款前上期还款金额mean,780
放款前浏览子行为编号_1,779
去重后放款前本期账单余额min,763
放款前浏览子行为编号_4,751
放款前本期账单最低还款额var与放款前循环利息var之和,742
放款前本期账单最低还款额mean与放款前循环利息mean之和,736
放款前本期账单金额mean,724
去重后放款前本期账单最低还款额mean,717
爆卡次数,716
放款前上期账单金额var,711
去重后放款前本期账单最低还款额median,710
放款前本期账单金额median,710
去重后放款前信用卡额度var与放款前本期账单余额var差值,709
放款前上期还款金额median,709
去重后放款前本期账单最低还款额var,706
放款前本期账单最低还款额median与放款前循环利息median之和,705
放款后信用卡额度max与放款后本期账单余额max差值,702
1,701
放款前本期账单余额var,701
放款前可用余额max与放款前预借现金额度max差值,694
去重后放款前本期账单余额median,692
放款前消费笔数var,690
去重后放款前上期还款金额max与放款前上期账单金额max差值,684
放款前上期还款金额max,683
放款前信用卡额度mean,682
放款前消费笔数mean,674
放款前浏览子行为编号count,673
放款前上期账单金额mean,657
去重后放款前上期还款金额var,654
去重后放款前本期账单最低还款额median与放款前循环利息median之和,651
去重后放款前本期账单金额mean,644
去重后放款前本期账单余额mean,643
去重后放款前本期账单金额var,643
去重后放款前本期账单最低还款额mean与放款前循环利息mean之和,642
去重后放款前上期还款金额mean,639
放款前本期账单最低还款额min,630
放款前预借现金额度var,617
去重后放款前消费笔数var,615
放款前信用卡额度var,611
放款前上期还款金额min与放款前上期账单金额min差值,610
去重后放款前本期账单金额median,609
放款前上期账单金额median,605
放款后上期还款金额max与放款后上期账单金额max差值,600
放款后浏览子行为编号count,595
放款后浏览行为数据mean,594
放款后浏览子行为编号_10,593
去重后放款前可用余额var与放款前预借现金额度var差值,592
去重后放款前本期账单最低还款额var与放款前循环利息var之和,588
放款前可用余额var与放款前预借现金额度var差值,582
放款前用户收入笔数,580
去重后放款后信用卡额度min与放款后本期账单余额min差值,580
放款后信用卡额度min与放款后本期账单余额min差值,580
去重后放款前本期账单最低还款额min,578
放款前上期账单金额max,569
放款前用户收入支出笔数差值,563
去重后放款前本期账单余额var,561
去重后放款前上期账单金额var,560
去重后放款前上期还款金额min与放款前上期账单金额min差值,555
去重后放款前上期还款金额median,555
放款前浏览行为数据max,552
去重后放款前消费笔数mean,547
去重后放款前信用卡额度var,545
去重后放款前本期账单最低还款额max,544
用户银行卡账单计数,541
去重后放款前信用卡额度mean,541
去重后放款后上期还款金额mean与放款后上期账单金额mean差值,538
去重后放款前上期账单金额mean,536
放款后上期还款金额median与放款后上期账单金额median差值,533
放款后上期还款金额mean与放款后上期账单金额mean差值,532
放款前账单金额统计,529
放款后信用卡额度sum与放款后本期账单余额sum差值,528
爆卡次数(去重),524
放款前上期账单金额min,514
放款后浏览子行为编号_7,514
放款后浏览行为数据var,511
去重后放款前预借现金额度var,506
去重后放款前上期账单金额median,499
放款前浏览子行为编号_3,496
放款前预借现金额度mean,491
放款后本期账单最低还款额max,487
放款前本期账单金额sum,483
放款后浏览子行为编号_6,481
放款后上期还款金额median与放款后上期账单金额median差值与放款前上期还款金额median与放款前上期账单金额median差值差值,480
放款后浏览子行为编号_8,475
放款前可用余额mean与放款前预借现金额度mean差值,470
放款前上期还款金额sum与放款前上期账单金额sum差值,470
去重后放款后信用卡额度median与放款后本期账单余额median差值,470
去重后放款前本期账单金额sum,469
去重后放款后信用卡额度sum与放款后本期账单余额sum差值,466
放款后信用卡额度median与放款后本期账单余额median差值,466
放款前还款金额为零,465
放款前预借现金额度sum,460
放款后浏览子行为编号_5,458
用户放款前信用卡额度最大值,456
放款后账单最大值还款差额(去重),454
放款后账单还款差额,453
放款后上期还款金额var与放款后上期账单金额var差值,450
放款前本期账单金额min,450
放款前还款金额统计,450
放款前预借现金额度max,446
放款前本期账单最低还款额min与放款前循环利息min之和,446
放款后本期账单最低还款额max与放款前本期账单最低还款额max差值,444
放款后本期账单余额min,444
放款前可用余额sum与放款前预借现金额度sum差值,443
去重后放款前预借现金额度mean,441
放款前用户支出笔数,437
放款前信用卡额度sum,427
放款前用户收入总计,427
去重后放款前本期账单余额sum,426
放款前账单金额为零,425
放款前消费笔数sum,421
去重后放款后上期还款金额mean与放款后上期账单金额mean差值与去重后放款前上期还款金额mean与放款前上期账单金额mean差值差值,418
放款后本期账单金额max与放款前本期账单金额max差值,418
去重后放款后上期还款金额median与放款后上期账单金额median差值与去重后放款前上期还款金额median与放款前上期账单金额median差值差值,418
放款前本期账单最低还款额sum与放款前循环利息sum之和,411
放款前本期账单余额sum,410
去重后放款后上期还款金额var与放款后上期账单金额var差值,409
放款前信用卡额度median,407
去重后放款前本期账单余额max,405
放款前信用卡额度max,404
放款后本期账单余额max,402
用户放款前消费笔数(去重),399
放款前用户支出总计,398
去重后放款前上期账单金额min,397
去重后放款前本期账单最低还款额max与放款前循环利息max之和,393
去重后放款前本期账单最低还款额sum与放款前循环利息sum之和,391
去重后放款前可用余额mean与放款前预借现金额度mean差值,391
去重后放款前信用卡额度sum,390
去重后放款前可用余额sum与放款前预借现金额度sum差值,390
放款后浏览子行为编号_4,388
去重后放款前信用卡额度median,388
去重后放款前本期账单最低还款额min与放款前循环利息min之和,387
放款前本期账单最低还款额sum,384
去重后放款后本期账单余额min,383
放款前账单小于还款计数(去重),382
去重后放款后本期账单余额median与去重后放款前本期账单余额median差值,379
用户放款前消费笔数,378
放款后账单汇总还款差额(去重),377
放款前账单大于还款计数(去重),377
放款后上期还款金额max与放款后上期账单金额max差值与放款前上期还款金额max与放款前上期账单金额max差值差值,374
放款后本期账单余额var,371
去重后放款后上期还款金额sum与放款后上期账单金额sum差值,370
去重后放款前本期账单金额min,370
放款后本期账单最低还款额median与放款前本期账单最低还款额median差值,369
去重后放款前预借现金额度sum,368
用户银行流水记录缺失统计_y,365
去重后放款前本期账单最低还款额sum,364
放款后本期账单金额max,362
放款后本期账单最低还款额var,360
放款后上期还款金额mean与放款后上期账单金额mean差值与放款前上期还款金额mean与放款前上期账单金额mean差值差值,360
去重后放款后上期还款金额median与放款后上期账单金额median差值,359
去重后放款前上期还款金额max,357
去重后放款后信用卡额度median与放款后本期账单余额median差值与去重后放款前信用卡额度median与放款前本期账单余额median差值差值,356
放款后信用卡额度median与放款后本期账单余额median差值与放款前信用卡额度median与放款前本期账单余额median差值差值,349
放款后上期还款金额var,348
放款后上期还款金额median与放款前上期还款金额median差值,347
放款前用户收入支出总计差值,346
放款后浏览行为数据min,345
放款前账单等于还款计数(去重),341
去重后放款前本期账单金额max,340
放款后信用卡额度var与放款后本期账单余额var差值,340
放款后信用卡额度max与放款后本期账单余额max差值与放款前信用卡额度max与放款前本期账单余额max差值差值,338
放款前浏览子行为编号计数（去重）,337
去重后放款后信用卡额度var与放款后本期账单余额var差值,334
放款后本期账单余额mean,330
放款前循环利息var,330
放款后本期账单余额max与放款前本期账单余额max差值,328
去重后放款后本期账单最低还款额median与去重后放款前本期账单最低还款额median差值,328
放款后上期还款金额max,327
放款后浏览子行为编号_1,327
放款后上期账单金额median与放款前上期账单金额median差值,326
放款后上期还款金额min与放款后上期账单金额min差值,325
去重后放款前消费笔数sum,324
放款后本期账单最低还款额mean,323
放款后本期账单最低还款额min,323
放款前该用户账单金额汇总(去重),323
放款后本期账单最低还款额max与放款后循环利息max之和与放款前本期账单最低还款额max与放款前循环利息max之和差值,320
放款后本期账单余额median与放款前本期账单余额median差值,318
去重后放款前可用余额max与放款前预借现金额度max差值,318
去重后放款后本期账单最低还款额min,318
放款后信用卡额度mean与放款后本期账单余额mean差值,316
去重后放款后本期账单金额median与去重后放款前本期账单金额median差值,316
去重后放款前循环利息var,315
去重后放款后本期账单最低还款额median与放款后循环利息median之和与去重后放款前本期账单最低还款额median与放款前循环利息median之和差值,315
去重后放款后信用卡额度sum与放款后本期账单余额sum差值与去重后放款前信用卡额度sum与放款前本期账单余额sum差值差值,313
放款前该用户账单还款金额最大值汇总(去重),313
放款后上期还款金额mean,313
去重后放款前上期账单金额sum,312
去重后放款后信用卡额度max与放款后本期账单余额max差值,309
放款前循环利息max,309
放款后本期账单金额median,308
放款后本期账单最低还款额median与放款后循环利息median之和,307
去重后放款后本期账单余额var,306
放款后信用卡额度mean,305
用户放款前循环利息,305
29,305
放款后账单还款差额与放款前账单还款差额差值,305
放款后账单最大值还款差额(去重)与放款前账单最大值还款差额(去重)差值,303
放款后本期账单金额mean与放款前本期账单金额mean差值,303
放款后信用卡额度sum与放款后本期账单余额sum差值与放款前信用卡额度sum与放款前本期账单余额sum差值差值,303
放款前该用户账单金额最大值汇总(去重),302
放款后上期还款金额max与放款前上期还款金额max差值,301
放款后上期还款金额median,300
放款后本期账单最低还款额max与放款后循环利息max之和,300
放款后本期账单余额median,300
放款后上期账单金额var,299
放款后本期账单最低还款额median与放款后循环利息median之和与放款前本期账单最低还款额median与放款前循环利息median之和差值,299
放款后本期账单金额median与放款前本期账单金额median差值,298
放款后上期还款金额var与放款后上期账单金额var差值与放款前上期还款金额var与放款前上期账单金额var差值差值,298
去重后放款后上期还款金额median与去重后放款前上期还款金额median差值,297
放款后本期账单最低还款额median,297
放款前上期还款金额min,295
放款后本期账单余额sum,294
放款后上期账单金额max与放款前上期账单金额max差值,293
放款后本期账单最低还款额mean与放款后循环利息mean之和与放款前本期账单最低还款额mean与放款前循环利息mean之和差值,291
放款后本期账单金额var,290
去重后放款后上期还款金额sum与放款后上期账单金额sum差值与去重后放款前上期还款金额sum与放款前上期账单金额sum差值差值,289
放款前消费笔数max,289
放款后本期账单最低还款额min与放款后循环利息min之和,288
去重后放款前上期还款金额sum,287
去重后放款后上期还款金额max与放款后上期账单金额max差值,287
去重后放款后信用卡额度mean与放款后本期账单余额mean差值,286
放款后本期账单最低还款额mean与放款前本期账单最低还款额mean差值,285
放款后信用卡额度min与放款后本期账单余额min差值与放款前信用卡额度min与放款前本期账单余额min差值差值,284
放款后本期账单最低还款额sum与放款后循环利息sum之和,282
去重后放款前上期还款金额min,281
放款后上期还款金额mean与放款前上期还款金额mean差值,281
放款前该用户账单还款金额汇总(去重),280
放款后本期账单金额var与放款前本期账单金额var差值,280
放款后上期账单金额max,279
放款后本期账单金额mean,279
去重后放款后本期账单金额median,279
放款后信用卡额度mean与放款后本期账单余额mean差值与放款前信用卡额度mean与放款前本期账单余额mean差值差值,278
去重后放款后本期账单金额mean与去重后放款前本期账单金额mean差值,278
去重后放款后上期还款金额var,278
去重后放款后本期账单最低还款额median与放款后循环利息median之和,277
去重后放款前预借现金额度median,277
放款后本期账单最低还款额var与放款后循环利息var之和,277
放款前预借现金额度median,272
去重后放款后本期账单最低还款额sum,271
去重后放款后本期账单最低还款额mean与放款后循环利息mean之和与去重后放款前本期账单最低还款额mean与放款前循环利息mean之和差值,269
去重后放款后本期账单最低还款额var,269
去重后放款后本期账单最低还款额min与放款后循环利息min之和,269
放款后本期账单金额sum,269
放款后上期还款金额var与放款前上期还款金额var差值,268
去重后放款后本期账单最低还款额min与去重后放款前本期账单最低还款额min差值,267
放款后本期账单最低还款额mean与放款后循环利息mean之和,266
放款后本期账单余额mean与放款前本期账单余额mean差值,266
去重后放款后本期账单余额sum,265
去重后放款后本期账单最低还款额mean与去重后放款前本期账单最低还款额mean差值,264
去重后放款后本期账单最低还款额sum与放款后循环利息sum之和,263
去重后放款前上期账单金额max,263
放款后账单金额统计,263
放款前循环利息mean,262
去重后放款后本期账单余额mean,259
放款后账单汇总还款差额(去重)与放款前账单汇总还款差额(去重)差值,259
去重后放款后本期账单最低还款额mean,258
放款前信用卡额度min,257
放款后本期账单最低还款额sum,256
去重后放款后上期账单金额median与去重后放款前上期账单金额median差值,255
去重后放款后信用卡额度sum,255
去重后放款后本期账单最低还款额min与放款后循环利息min之和与去重后放款前本期账单最低还款额min与放款前循环利息min之和差值,255
放款后还款金额统计,255
去重后放款后本期账单金额var,254
去重后放款后信用卡额度median与去重后放款前信用卡额度median差值,252
放款后本期账单金额min,252
去重后放款后上期还款金额mean与去重后放款前上期还款金额mean差值,251
去重后放款后信用卡额度mean与放款后本期账单余额mean差值与去重后放款前信用卡额度mean与放款前本期账单余额mean差值差值,249
用户放款前循环利息(去重),248
放款后信用卡额度sum,247
去重后放款后上期还款金额min与放款后上期账单金额min差值,246
去重后放款后本期账单金额max与去重后放款前本期账单金额max差值,246
去重后放款后本期账单金额var与去重后放款前本期账单金额var差值,246
去重后放款后信用卡额度min与放款后本期账单余额min差值与去重后放款前信用卡额度min与放款前本期账单余额min差值差值,246
放款后上期还款金额min与放款后上期账单金额min差值与放款前上期还款金额min与放款前上期账单金额min差值差值,244
放款后上期账单金额mean,242
放款后上期账单金额min,242
用户持卡数,241
去重后放款后上期还款金额mean,240
放款后该用户账单还款金额最大值汇总(去重),239
去重后放款后本期账单金额mean,239
242,239
去重后放款后本期账单余额median,237
x2,237
去重后放款后本期账单最低还款额max,236
放款后信用卡额度var,236
去重后放款后本期账单余额mean与去重后放款前本期账单余额mean差值,235
放款后该用户账单金额最大值汇总(去重),233
放款后上期账单金额min与放款前上期账单金额min差值,231
去重后放款后上期还款金额median,231
放款后本期账单最低还款额min与放款前本期账单最低还款额min差值,230
放款后本期账单最低还款额var与放款前本期账单最低还款额var差值,230
去重后放款后本期账单最低还款额mean与放款后循环利息mean之和,230
去重后放款后本期账单最低还款额var与放款后循环利息var之和,229
用户放款后信用卡额度最大值,228
去重后放款后上期账单金额mean,228
去重后放款后上期还款金额sum,227
放款前消费笔数median,227
放款前调整金额sum,227
放款后上期账单金额mean与放款前上期账单金额mean差值,227
放款后消费笔数mean与放款前消费笔数mean差值,227
去重后放款后上期还款金额max与放款后上期账单金额max差值与去重后放款前上期还款金额max与放款前上期账单金额max差值差值,225
放款后上期还款金额sum与放款后上期账单金额sum差值,224
放款后浏览子行为编号_3,224
去重后放款后本期账单最低还款额median,224
去重后放款后本期账单最低还款额max与去重后放款前本期账单最低还款额max差值,222
去重后放款后上期还款金额var与放款后上期账单金额var差值与去重后放款前上期还款金额var与放款前上期账单金额var差值差值,221
放款后浏览行为数据max,220
放款后信用卡额度mean与放款前信用卡额度mean差值,220
放款前用户工资收入总计,220
11,218
放款后消费笔数var与放款前消费笔数var差值,218
去重后放款后信用卡额度mean与去重后放款前信用卡额度mean差值,217
放款后本期账单余额min与放款前本期账单余额min差值,217
x3,215
放款后上期账单金额median,214
去重后放款后上期还款金额var与去重后放款前上期还款金额var差值,214
去重后放款后本期账单余额min与去重后放款前本期账单余额min差值,213
去重后放款后预借现金额度sum,213
去重后放款前循环利息sum,211
放款后本期账单最低还款额var与放款后循环利息var之和与放款前本期账单最低还款额var与放款前循环利息var之和差值,207
去重后放款后上期账单金额mean与去重后放款前上期账单金额mean差值,206
用户放款后信用卡额度最大值与用户放款前信用卡额度最大值差值,205
放款后本期账单最低还款额min与放款后循环利息min之和与放款前本期账单最低还款额min与放款前循环利息min之和差值,204
放款前循环利息sum,204
放款后可用余额mean与放款后预借现金额度mean差值与放款前可用余额mean与放款前预借现金额度mean差值差值,203
去重后放款后本期账单金额sum,203
去重后放款后消费笔数var与去重后放款前消费笔数var差值,203
3,202
放款后预借现金额度sum,202
放款后信用卡额度median,201
放款后用户支出总计,201
放款后上期还款金额min,199
放款后信用卡额度max,197
去重后放款前循环利息mean,197
去重后放款后本期账单余额max,195
放款后消费笔数mean,195
58,195
放款后消费笔数var,194
去重后放款前可用余额median与放款前预借现金额度median差值,193
去重后放款前信用卡额度min,193
去重后放款后信用卡额度max与放款后本期账单余额max差值与去重后放款前信用卡额度max与放款前本期账单余额max差值差值,192
去重后放款后本期账单金额min与去重后放款前本期账单金额min差值,192
去重后放款后上期账单金额var,192
放款后浏览子行为编号计数（去重）,192
去重后放款前预借现金额度max,191
去重后放款后消费笔数mean,191
去重后放款后本期账单余额max与去重后放款前本期账单余额max差值,191
放款后预借现金额度mean与放款前预借现金额度mean差值,191
